,Ventana,TS,Accuracy,Tiempo transcurrido [sec],Instancias clase_1,Instancias clase_2,Instancias clase_3,Instancias clase_4,Instancias clase_5,Instancias clase_6,Clasificadas clase_1,Clasificadas clase_2,Clasificadas clase_3,Clasificadas clase_4,Clasificadas clase_5,Clasificadas clase_6,Cluster clase_1,Cluster clase_2,Cluster clase_3,Cluster clase_4,Cluster clase_5,Cluster clase_6
1,1,3999,100.0,270.26514518866315,False,1022,978,False,False,False,False,1022,978,False,False,False,False,5,5,False,False,False
2,2,5999,76.55,267.82561196992174,469,364,1167,False,False,False,False,364,1167,False,False,False,False,5,5,False,False,False
3,3,7999,78.05,269.60070679103956,439,350,1211,False,False,False,False,350,1211,False,False,False,False,5,5,False,False,False
4,4,9999,77.85,268.3717576600611,443,395,1162,False,False,False,False,395,1162,False,False,False,False,5,5,False,False,False
5,5,11999,77.0,269.7891889028251,460,384,1156,False,False,False,False,384,1156,False,False,False,False,5,5,False,False,False
6,6,13999,77.55,269.83692945493385,449,398,1153,False,False,False,False,398,1153,False,False,False,False,5,5,False,False,False
7,7,15999,77.45,270.16134726163,451,412,1137,False,False,False,False,412,1137,False,False,False,False,5,5,False,False,False
8,8,17999,77.8,270.3199059609324,444,381,1175,False,False,False,False,381,1175,False,False,False,False,5,5,False,False,False
9,9,19999,77.9,268.25341410329565,442,451,1107,False,False,False,False,451,1107,False,False,False,False,5,5,False,False,False
10,10,21999,77.3,268.6465280810371,454,403,1143,False,False,False,False,403,1143,False,False,False,False,5,5,False,False,False
11,11,23999,76.75,268.8740270473063,465,383,1152,False,False,False,False,383,1152,False,False,False,False,5,5,False,False,False
12,12,25999,78.3,270.99492864636704,434,407,1159,False,False,False,False,407,1159,False,False,False,1,5,5,False,False,False
13,13,27999,97.5,293.68808571994305,451,395,1154,False,False,False,401,395,1154,False,False,False,1,5,5,False,False,False
14,14,29999,97.7,292.63589706178755,445,389,1166,False,False,False,399,389,1166,False,False,False,1,5,5,False,False,False
15,15,31999,97.75,314.203779743053,443,409,1148,False,False,False,398,409,1148,False,False,False,1,5,5,False,False,False
16,16,33999,97.65,295.7257411503233,430,398,1172,False,False,False,383,398,1172,False,False,False,1,5,5,False,False,False
17,17,35999,98.15,295.37966269860044,426,392,1182,False,False,False,389,392,1182,False,False,False,1,5,5,False,False,False
18,18,37999,97.25,333.83866771124303,472,369,1159,False,False,False,417,369,1159,False,False,False,1,5,5,False,False,False
19,19,39999,98.3,293.2517773350701,429,383,1188,False,False,False,395,383,1188,False,False,False,1,5,5,False,False,False
20,20,41999,97.8,293.27062450535595,433,420,1147,False,False,False,389,420,1147,False,False,False,1,5,5,False,False,False
21,21,43999,98.05,350.42219944810495,451,390,1159,False,False,False,412,390,1159,False,False,False,1,5,5,False,False,False
22,22,45999,97.95,294.11511825118214,463,387,1150,False,False,False,422,387,1150,False,False,False,1,5,5,False,False,False
23,23,47999,97.75,295.5713447863236,410,415,1175,False,False,False,365,415,1175,False,False,False,1,5,5,False,False,False
24,24,49999,98.0,372.53710809815675,442,358,1200,False,False,False,402,358,1200,False,False,False,1,5,5,False,False,False
25,25,51999,98.2,296.8393306587823,415,409,1176,False,False,False,379,409,1176,False,False,False,1,5,5,False,False,False
26,26,53999,97.85000000000001,297.38484898908064,437,387,1176,False,False,False,394,387,1176,False,False,False,1,5,5,False,False,False
27,27,55999,98.05,391.2092522280291,459,365,1176,False,False,False,420,365,1176,False,False,False,1,5,5,False,False,False
28,28,57999,97.89999999999999,298.10191508801654,443,386,1171,False,False,False,401,386,1171,False,False,False,1,5,5,False,False,False
29,29,59999,97.95,296.209292287007,465,382,1153,False,False,False,424,382,1153,False,False,False,1,5,5,False,False,False
30,30,61999,98.25,411.22081031184644,443,382,1175,False,False,False,408,382,1175,False,False,False,1,5,5,False,False,False
31,31,63999,98.15,298.3170309397392,416,392,1192,False,False,False,379,392,1192,False,False,False,1,5,5,False,False,False
32,32,65999,97.85000000000001,298.13092105509713,444,422,1134,False,False,False,402,421,1134,False,False,False,1,5,5,False,False,False
33,33,67999,98.35000000000001,429.83896759618074,449,380,1171,False,False,False,417,379,1171,False,False,False,1,5,5,False,False,False
34,34,69999,98.3,299.09872060641646,424,408,1168,False,False,False,391,407,1168,False,False,False,1,5,5,False,False,False
35,35,71999,98.55000000000001,298.9985557612963,459,371,1170,False,False,False,431,370,1170,False,False,False,1,5,5,False,False,False
36,36,73999,98.9,299.10638592299074,421,413,1166,False,False,False,400,412,1166,False,False,False,1,5,5,False,False,False
37,37,75999,98.65,456.30342180933803,449,386,1165,False,False,False,422,386,1165,False,False,False,1,5,5,False,False,False
38,38,77999,98.6,300.366839597933,418,384,1198,False,False,False,390,384,1198,False,False,False,1,5,5,False,False,False
39,39,79999,98.5,299.82359563792124,459,415,1126,False,False,False,429,415,1126,False,False,False,1,5,5,False,False,False
40,40,81999,98.05,300.1476678508334,448,397,1155,False,False,False,409,397,1155,False,False,False,1,5,5,False,False,False
41,41,83999,98.65,481.4434736217372,411,395,1194,False,False,False,384,395,1194,False,False,False,1,5,5,False,False,False
42,42,85999,99.0,300.77634637709707,440,381,1179,False,False,False,421,380,1179,False,False,False,1,5,5,False,False,False
43,43,87999,98.45,300.3181427838281,454,412,1134,False,False,False,424,411,1134,False,False,False,1,5,5,False,False,False
44,44,89999,98.4,301.0866659847088,484,411,1105,False,False,False,452,411,1105,False,False,False,1,5,5,False,False,False
45,45,91999,98.8,507.8124587321654,416,402,1182,False,False,False,392,402,1182,False,False,False,1,5,5,False,False,False
46,46,93999,97.75,301.3638546760194,463,427,1110,False,False,False,420,425,1110,False,False,False,1,5,5,False,False,False
47,47,95999,98.4,301.80446019396186,410,420,1170,False,False,False,378,420,1170,False,False,False,1,5,5,False,False,False
48,48,97999,98.1,527.5928548220545,444,366,1190,False,False,False,406,366,1190,False,False,False,1,5,5,False,False,False
